task,topology_family,repeat,drift,feature_group,macro_f1,bal_acc,class_mae,adjacent_acc
boundary,line,0,0.0,Topological,0.9861084314103801,0.9861111111111112,,
boundary,line,0,0.0,Complexity,1.0,1.0,,
boundary,line,0,0.0,Operational,0.9166666666666666,0.9166666666666666,,
boundary,line,0,0.0,All,1.0,1.0,,
boundary,line,0,0.2,Topological,0.9444015444015443,0.9444444444444444,,
boundary,line,0,0.2,Complexity,0.9444015444015443,0.9444444444444444,,
boundary,line,0,0.2,Operational,0.8888030888030888,0.8888888888888888,,
boundary,line,0,0.2,All,0.9861084314103801,0.9861111111111112,,
boundary,line,0,0.4,Topological,0.9444015444015443,0.9444444444444444,,
boundary,line,0,0.4,Complexity,0.8435710053328067,0.8472222222222222,,
boundary,line,0,0.4,Operational,0.7531760435571688,0.7638888888888888,,
boundary,line,0,0.4,All,0.9722007722007722,0.9722222222222222,,
boundary,line,0,0.6,Topological,0.8300550747442959,0.8333333333333333,,
boundary,line,0,0.6,Complexity,0.7205311542390194,0.7361111111111112,,
boundary,line,0,0.6,Operational,0.7037037037037037,0.7222222222222222,,
boundary,line,0,0.6,All,0.8435710053328067,0.8472222222222222,,
boundary,line,0,0.8,Topological,0.7205311542390194,0.7361111111111112,,
boundary,line,0,0.8,Complexity,0.6442534908700321,0.6805555555555556,,
boundary,line,0,0.8,Operational,0.625,0.6666666666666666,,
boundary,line,0,0.8,All,0.6812144212523719,0.7083333333333334,,
boundary,line,0,1.0,Topological,0.6989966555183946,0.7222222222222222,,
boundary,line,0,1.0,Complexity,0.5735906997148497,0.625,,
boundary,line,0,1.0,Operational,0.5313131313131314,0.5972222222222222,,
boundary,line,0,1.0,All,0.5847382431233363,0.6388888888888888,,
boundary,line,1,0.0,Topological,0.9442724458204335,0.9444444444444444,,
boundary,line,1,0.0,Complexity,1.0,1.0,,
boundary,line,1,0.0,Operational,0.8464818763326225,0.8472222222222222,,
boundary,line,1,0.0,All,0.9442724458204335,0.9444444444444444,,
boundary,line,1,0.2,Topological,0.8610038610038611,0.8611111111111112,,
boundary,line,1,0.2,Complexity,0.9018500486854917,0.9027777777777778,,
boundary,line,1,0.2,Operational,0.8469565217391304,0.8472222222222222,,
boundary,line,1,0.2,All,0.9722222222222222,0.9722222222222222,,
boundary,line,1,0.4,Topological,0.8749758826934209,0.875,,
boundary,line,1,0.4,Complexity,0.8133599202392822,0.8194444444444444,,
boundary,line,1,0.4,Operational,0.8165784832451499,0.8194444444444444,,
boundary,line,1,0.4,All,0.9304347826086956,0.9305555555555556,,
boundary,line,1,0.6,Topological,0.789678675754625,0.7916666666666666,,
boundary,line,1,0.6,Complexity,0.7205311542390194,0.7361111111111112,,
boundary,line,1,0.6,Operational,0.7428571428571429,0.75,,
boundary,line,1,0.6,All,0.7846460618145563,0.7916666666666667,,
boundary,line,1,0.8,Topological,0.6785714285714286,0.6944444444444444,,
boundary,line,1,0.8,Complexity,0.674074074074074,0.6944444444444444,,
boundary,line,1,0.8,Operational,0.7037037037037037,0.7222222222222222,,
boundary,line,1,0.8,All,0.7333333333333334,0.75,,
boundary,line,1,1.0,Topological,0.6688963210702341,0.6944444444444444,,
