task,topology_family,feature_group,drift,macro_f1_mean,macro_f1_std,bal_acc_mean,bal_acc_std,class_mae_mean,class_mae_std,adjacent_acc_mean,adjacent_acc_std
boundary,gridish,All,0.0,0.9805405343219433,0.011731801759878679,0.9805555555555555,0.01171213948210514,,,,
boundary,gridish,All,0.2,0.9805405343219433,0.011731801759878679,0.9805555555555555,0.01171213948210514,,,,
boundary,gridish,All,0.4,0.9805405343219433,0.011731801759878679,0.9805555555555555,0.01171213948210514,,,,
boundary,gridish,All,0.6,0.9777627565441656,0.00973013401006024,0.9777777777777776,0.009711193038612558,,,,
boundary,gridish,All,0.8,0.9805405343219433,0.011731801759878679,0.9805555555555555,0.01171213948210514,,,,
boundary,gridish,All,1.0,0.9749844428262417,0.01096992834844042,0.975,0.010955703302036376,,,,
boundary,gridish,Complexity,0.0,0.9888856720064514,0.010959632235028395,0.9888888888888889,0.010955703302036325,,,,
boundary,gridish,Complexity,0.2,0.987491681742896,0.013828643393871689,0.9875,0.013811512861274368,,,,
boundary,gridish,Complexity,0.4,0.9861073582885276,0.009262835746214825,0.986111111111111,0.009259259259259264,,,,
boundary,gridish,Complexity,0.6,0.9819350543070481,0.014727135986002761,0.9819444444444445,0.014713193131546983,,,,
boundary,gridish,Complexity,0.8,0.9847139039651183,0.013826786714518926,0.9847222222222222,0.013811512861274371,,,,
boundary,gridish,Complexity,1.0,0.977771344012903,0.016304538924782362,0.9777777777777776,0.016302608205239853,,,,
boundary,gridish,Operational,0.0,0.961103605465944,0.010963865383364744,0.961111111111111,0.01095570330203634,,,,
boundary,gridish,Operational,0.2,0.9666602341433519,0.016305754310853515,0.9666666666666665,0.01630260820523984,,,,
boundary,gridish,Operational,0.4,0.9666596969616454,0.011722598640809882,0.9666666666666665,0.011712139482105139,,,,
boundary,gridish,Operational,0.6,0.9596806109888127,0.012190271276338715,0.9597222222222224,0.012161042163484929,,,,
boundary,gridish,Operational,0.8,0.9485087168820275,0.016179427532895183,0.9486111111111111,0.016104191787894503,,,,
boundary,gridish,Operational,1.0,0.9302516425019954,0.01871868461758431,0.9305555555555556,0.01851851851851849,,,,
boundary,gridish,Topological,0.0,0.9805405343219433,0.011731801759878679,0.9805555555555555,0.01171213948210514,,,,
boundary,gridish,Topological,0.2,0.9805405343219433,0.011731801759878679,0.9805555555555555,0.01171213948210514,,,,
boundary,gridish,Topological,0.4,0.9805405343219433,0.011731801759878679,0.9805555555555555,0.01171213948210514,,,,
boundary,gridish,Topological,0.6,0.9805405343219433,0.011731801759878679,0.9805555555555555,0.01171213948210514,,,,
boundary,gridish,Topological,0.8,0.9805405343219433,0.011731801759878679,0.9805555555555555,0.01171213948210514,,,,
boundary,gridish,Topological,1.0,0.9805405343219433,0.011731801759878679,0.9805555555555555,0.01171213948210514,,,,
boundary,line,All,0.0,0.9679709097979389,0.03083887392362936,0.9680555555555556,0.030744366140525902,,,,
boundary,line,All,0.2,0.9443422132513828,0.03081847684519041,0.9444444444444444,0.03070948879958704,,,,
boundary,line,All,0.4,0.9132136513963285,0.03781493102579865,0.9138888888888888,0.03692111488403126,,,,
boundary,line,All,0.6,0.8170213734731725,0.04345539398074349,0.8222222222222222,0.03971779738801336,,,,
boundary,line,All,0.8,0.7215299392374032,0.0660542046770789,0.7402777777777778,0.05479807677379741,,,,
boundary,line,All,1.0,0.5965522294755206,0.052659592278681736,0.6458333333333334,0.03479929717215951,,,,
boundary,line,Complexity,0.0,0.9819221718605824,0.022767227610565828,0.9819444444444445,0.02272766242339552,,,,
boundary,line,Complexity,0.2,0.9034361206679111,0.022807786714586564,0.9041666666666668,0.022154603914824815,,,,
boundary,line,Complexity,0.4,0.8168530848349068,0.027447627158662426,0.8222222222222222,0.02432208432696981,,,,
boundary,line,Complexity,0.6,0.7502426735271345,0.04310717722689767,0.7625,0.038428714758235435,,,,
boundary,line,Complexity,0.8,0.7094577993942688,0.0425767989103063,0.7277777777777777,0.035980294866158245,,,,
boundary,line,Complexity,1.0,0.6490580132129529,0.05369134725101662,0.6805555555555556,0.041923079343228795,,,,
boundary,line,Operational,0.0,0.8873072950477615,0.03688317839935253,0.8875,0.03671737047944138,,,,
boundary,line,Operational,0.2,0.8090940787792815,0.04048716402486983,0.8111111111111111,0.03884477215445004,,,,
boundary,line,Operational,0.4,0.7389914074439111,0.05146103925424574,0.7486111111111111,0.047416991218775434,,,,
boundary,line,Operational,0.6,0.6861311216014265,0.06677351409007301,0.7069444444444445,0.0557288962437191,,,,
boundary,line,Operational,0.8,0.6335901515690561,0.05464436019028573,0.6680555555555555,0.04112299628000454,,,,
boundary,line,Operational,1.0,0.570901242575897,0.0955523621224548,0.6291666666666667,0.06281641441883608,,,,
boundary,line,Topological,0.0,0.9567793715750762,0.02674174829835583,0.9569444444444445,0.02655487111055553,,,,
boundary,line,Topological,0.2,0.9304112084879002,0.0340657033299487,0.9305555555555556,0.03402069087198856,,,,
boundary,line,Topological,0.4,0.9262157931152675,0.028605497726541577,0.9263888888888887,0.028576480300020298,,,,
boundary,line,Topological,0.6,0.8936289067827499,0.05536467589533188,0.8944444444444443,0.05446459692538055,,,,
boundary,line,Topological,0.8,0.7981025699406523,0.08729397385831945,0.8055555555555557,0.07911114578997712,,,,
boundary,line,Topological,1.0,0.714065111531052,0.04415318185944914,0.7305555555555556,0.03414646095293662,,,,
scale,gridish,All,0.0,0.9462889098572838,0.020417743290807176,0.9465277777777779,0.020126912147485295,0.0652777777777778,0.024974266591224405,0.9916666666666668,0.0043920523057894
scale,gridish,All,0.2,0.7755587788451399,0.02820107809727329,0.7756944444444445,0.02974334371248302,0.25520833333333337,0.032168847476128,0.9722222222222221,0.00982092751647981
scale,gridish,All,0.4,0.6179024477347257,0.022654419890009832,0.6267361111111109,0.02293010735666547,0.49131944444444436,0.042090501263815236,0.9017361111111111,0.0196452647812768
scale,gridish,All,0.6,0.547409444881964,0.022447048326133482,0.570486111111111,0.022801219682258848,0.6604166666666667,0.042519562995301165,0.8159722222222223,0.020180087701577195
scale,gridish,All,0.8,0.4851634415366653,0.026318522665915632,0.5159722222222223,0.027054630247568486,0.8215277777777779,0.046099117137132294,0.7454861111111111,0.014735937298983114
scale,gridish,All,1.0,0.43277122255869316,0.020884653921723225,0.4697916666666667,0.01763290337834552,0.9711805555555555,0.03962493752510297,0.6875,0.012572662605555791
scale,gridish,Complexity,0.0,0.8547483146159767,0.023271296478114857,0.8555555555555557,0.02185018433687816,0.16805555555555557,0.028075182598069636,0.982638888888889,0.009402822227587935
scale,gridish,Complexity,0.2,0.648451621687419,0.033469887425783905,0.6496527777777777,0.033362657497491455,0.6006944444444444,0.07213165023556889,0.8333333333333333,0.029142773870403156
scale,gridish,Complexity,0.4,0.5113515401512783,0.019256015780590878,0.5111111111111111,0.01828557190567729,0.8100694444444445,0.045391919013502785,0.7756944444444444,0.02499571293832053
scale,gridish,Complexity,0.6,0.4649407851893847,0.03286001264514347,0.46527777777777785,0.03350489543085677,0.9111111111111111,0.049055508367914905,0.7375,0.012050384337796644
scale,gridish,Complexity,0.8,0.4145231280454319,0.03845170575034614,0.415625,0.035750589340639065,1.0194444444444444,0.08335262122465358,0.704861111111111,0.03601006756042604
