task,label,label_name,N,instance_id,local_sample_idx,template_family,topology_family,logical_seed,transpile_seed,n_steps,logical_depth,logical_twoq,logical_total_ops,routed_depth,extra_twoq,extra_depth,swap_equiv,transpile_ms,depth_overhead,twoq_overhead,swap_fraction,cx_fraction,sched_duration_ms,idle_variance
scale,5,5,5,scale_line_qaoa_N5_00000,0,qaoa,line,9524682,7204212,5,48,24,72,75.17239932322002,3.847247081531345,27,3.011078881204912,57.658466252766644,1.5660916525670838,1.1603019617304728,0.10714285714285714,0.2828282828282828,468.33141636719176,3.007416253603659
scale,5,5,5,scale_line_qaoa_N5_00001,1,qaoa,line,1766891,4521373,5,45,12,57,55.0882330746102,0.9523220519275962,9,0.0,57.6586304305082,1.22418295721356,1.0793601709939664,0.0,0.19696969696969696,337.9256727384733,1.495874075107736
scale,5,5,5,scale_line_qaoa_N5_00002,2,qaoa,line,9305648,5743066,5,47,6,53,60.06744520665164,0.0,13,0.0,33.874509873063985,1.2780307490776945,1.0,0.0,0.09090909090909091,332.9560836839722,1.5034544966181254
scale,5,5,5,scale_line_qaoa_N5_00003,3,qaoa,line,8242680,2428388,5,37,20,57,45.77270579551316,1.0222168810377368,9,0.0,69.50369682396904,1.2371001566354909,1.0511108440518868,0.0,0.3181818181818182,277.7011544763619,2.0439500314967893
scale,5,5,5,scale_line_qaoa_N5_00004,4,qaoa,line,1465689,68148,5,16,25,41,19.231079911768134,1.989217555369952,3,0.9790434921041993,39.73280384269908,1.2019424944855084,1.079568702214798,0.037037037037037035,0.6136363636363636,125.11726157548455,0.44478845332350164
scale,5,5,5,scale_line_qaoa_N5_00005,5,qaoa,line,4997895,6397986,5,11,24,35,16.299134160328826,1.9731579991628283,5,0.972313439709618,71.19423611561837,1.4817394691208023,1.0822149166317845,0.038461538461538464,0.65,118.33326826071239,0.7791052552809088
scale,5,5,5,scale_line_qaoa_N5_00006,6,qaoa,line,5414709,271836,5,23,21,44,34.60667714294996,1.0015889798879096,12,0.0,87.7831304155244,1.5046381366499983,1.0476947133279957,0.0,0.39285714285714285,218.2263085267687,1.9326180864852391
scale,5,5,5,scale_line_qaoa_N5_00007,7,qaoa,line,9973006,564685,5,27,16,43,44.07392423415961,2.845210274704603,17,1.9744919782726762,71.93639724282318,1.632367564228134,1.1778256421690376,0.10526315789473684,0.31666666666666665,273.94436946143713,1.413577109092456
scale,5,5,5,scale_line_qaoa_N5_00008,8,qaoa,line,1767640,6723771,5,32,29,61,50.10194166032535,5.080661247127287,19,4.08443226531352,83.40746334103046,1.5656856768851672,1.1751952154181824,0.11764705882352941,0.425,336.15006874182984,3.240273510698136
scale,5,5,5,scale_line_qaoa_N5_00009,9,qaoa,line,1504384,2230919,5,38,19,57,42.87326922912556,1.0117612669045506,7,0.0,70.7098518701737,1.1282439270822515,1.0532505929949763,0.0,0.3125,279.98680009547405,0.17672315415397388
scale,10,10,10,scale_line_qaoa_N10_00000,0,qaoa,line,3853339,9467719,5,66,30,96,103.05612799013632,3.955014438507574,36,3.006200593119173,76.98440259210962,1.561456484699035,1.1318338146169191,0.08823529411764706,0.25757575757575757,643.2093265813544,4.967785278667679
scale,10,10,10,scale_line_qaoa_N10_00001,1,qaoa,line,7988004,6245035,5,42,12,54,58.90604704759473,1.030435951316334,16,0.0,71.73602063664805,1.4025249297046365,1.0858696626096946,0.0,0.18571428571428572,350.20875890364255,1.6063946496288153
scale,10,10,10,scale_line_qaoa_N10_00002,2,qaoa,line,6914550,6167294,5,98,52,150,142.19721429548977,18.450543186038082,42,12.609980146461544,79.72963533755788,1.4509919826070385,1.3548181381930402,0.16901408450704225,0.3697916666666667,987.1916621048802,5.674380751304831
scale,10,10,10,scale_line_qaoa_N10_00003,3,qaoa,line,7887739,769598,5,46,22,68,68.53801283697928,2.0687074034449795,25,0.9884206394550574,77.95595463895941,1.4899568008038973,1.0940321547020444,0.041666666666666664,0.25806451612903225,448.9616799715929,1.5309938972902344
scale,10,10,10,scale_line_qaoa_N10_00004,4,qaoa,line,3344014,7064746,5,82,22,104,121.06568327928201,5.02962944890032,39,4.0370937477591955,72.97650448508347,1.476410771698561,1.22861952040456,0.14814814814814814,0.1888111888111888,760.8230742713079,4.282123169573384
scale,10,10,10,scale_line_qaoa_N10_00005,5,qaoa,line,6706971,43585,5,76,16,92,108.8037264164093,5.948716308469816,37,4.78148898191562,59.71884229412462,1.4316279791632802,1.3717947692793635,0.22727272727272727,0.17054263565891473,725.1190875597092,3.7911160813838687
scale,10,10,10,scale_line_qaoa_N10_00006,6,qaoa,line,5895544,5697469,5,30,32,62,50.504812249820354,4.001746619154863,19,2.8233920170708897,62.979469061226474,1.6834937416606786,1.1250545818485895,0.08333333333333333,0.4444444444444444,347.69936588080543,1.8104121927759163
scale,10,10,10,scale_line_qaoa_N10_00007,7,qaoa,line,1954109,4422880,5,44,26,70,54.99173905582117,3.991259683501748,12,3.066146810577994,66.72337853402232,1.249812251268663,1.1535099878269903,0.1,0.36585365853658536,353.7631736311608,1.7776134205266723
scale,10,10,10,scale_line_qaoa_N10_00008,8,qaoa,line,39353,6484531,5,66,38,104,88.63743921162447,5.18949783352369,20,4.0040918579591365,63.37261686621787,1.3429915032064312,1.1365657324611498,0.09302325581395349,0.3467741935483871,537.4815726842534,3.464674968683743
scale,10,10,10,scale_line_qaoa_N10_00009,9,qaoa,line,7433296,4965050,5,42,22,64,57.27472423566803,4.844953529940381,14,3.091874367227839,68.53527193258384,1.3636839103730485,1.2202251604518355,0.1111111111111111,0.34615384615384615,383.8358966479861,2.1045620108403753
scale,20,20,20,scale_line_qaoa_N20_00000,0,qaoa,line,5031595,5478047,5,44,24,68,52.27431574207301,9.797065824500152,9,6.775922100064096,104.33515487289921,1.1880526305016592,1.4082110760208397,0.20588235294117646,0.44155844155844154,391.21356938705895,2.2196059920406683
scale,20,20,20,scale_line_qaoa_N20_00001,1,qaoa,line,7103230,2558231,5,60,108,168,93.16412834258914,68.11175308085589,34,46.2646434280966,100.65793708549305,1.5527354723764857,1.6306643803782952,0.26011560693641617,0.8564356435643564,1080.8176247225738,7.292688366692663
scale,20,20,20,scale_line_qaoa_N20_00002,2,qaoa,line,1659066,2148815,5,56,96,152,79.64951637056069,75.1125111845687,22,73.42635162000857,85.57197655094357,1.422312792331441,1.7824219915059238,0.40350877192982454,0.9827586206896551,1060.1884362186888,8.861547546238363
scale,20,20,20,scale_line_qaoa_N20_00003,3,qaoa,line,1607618,3896830,5,152,28,180,232.61891095252165,15.463338476348511,81,9.125807001317005,93.78226614740852,1.5303875720560633,1.5522620884410183,0.20930232558139536,0.16475095785440613,1515.4019985923248,10.334235011010787
scale,20,20,20,scale_line_qaoa_N20_00004,4,qaoa,line,3445376,5251035,5,112,96,208,146.52119681569332,59.664817709670594,32,49.9765024851941,96.20548215961735,1.3082249715686902,1.6215085178090687,0.3223684210526316,0.6333333333333333,1327.9853811209634,8.538879379142053
scale,20,20,20,scale_line_qaoa_N20_00005,5,qaoa,line,3504473,7299695,5,136,88,224,224.56416420909088,66.32923457904992,86,46.71538878872265,88.39062623136937,1.6512070897727271,1.7537413020346582,0.2987012987012987,0.4967741935483871,1868.021284586181,14.083724951234377
scale,20,20,20,scale_line_qaoa_N20_00006,6,qaoa,line,6671458,4892306,5,44,20,64,69.77783932783748,5.108659748047328,28,3.8475597416113523,75.59958552316202,1.5858599847235793,1.2554329874023664,0.16,0.2717391304347826,480.62223511886975,3.01416328067148
scale,20,20,20,scale_line_qaoa_N20_00007,7,qaoa,line,9056842,8767088,5,100,28,128,135.21811677649845,18.435611362077598,40,18.689486694309092,101.90727256113641,1.3521811677649844,1.6584146915027713,0.3829787234042553,0.27976190476190477,977.8377294420735,6.301372761686103
scale,20,20,20,scale_line_qaoa_N20_00008,8,qaoa,line,4962140,2799487,5,68,32,100,103.35983747658695,23.657362219798244,34,12.870957182556312,92.93072473298682,1.519997609949808,1.7392925693686951,0.23636363636363636,0.41044776119402987,784.4884626344713,5.512219096137958
scale,20,20,20,scale_line_qaoa_N20_00009,9,qaoa,line,5333152,7328141,5,108,24,132,163.99143680263248,14.134368402752937,56,9.142790422827023,82.85648581973632,1.5184392296540044,1.5889320167813725,0.23684210526315788,0.20212765957446807,1067.6092134051457,7.483135453163194
scale,50,50,50,scale_line_qaoa_N50_00000,0,qaoa,line,4301754,2269042,5,300,200,500,482.9367458607958,354.5231540996724,157,313.9042193530749,158.2206015999449,1.6097891528693193,2.772615770498362,0.5793499043977055,0.7960426179604262,5317.906191789172,46.50851246383255
scale,50,50,50,scale_line_qaoa_N50_00001,1,qaoa,line,6105525,9587994,5,310,270,580,495.8007271848843,245.81094597412087,153,239.93390744150273,168.9679298265395,1.5993571844673686,1.9104109110152623,0.4624505928853755,0.6903137789904502,4675.567031863857,39.29205416788708
scale,50,50,50,scale_line_qaoa_N50_00002,2,qaoa,line,7265795,3772962,5,360,60,420,582.3369775195642,58.92103894575621,188,54.602768548566374,146.26880810349638,1.6176027153321229,1.9820173157626035,0.4297520661157025,0.19901315789473684,3781.1694651574835,24.666447730886667
scale,50,50,50,scale_line_qaoa_N50_00003,3,qaoa,line,6979451,8519981,5,260,160,420,461.65481794387665,333.6252962985613,176,312.28613099306125,155.0359706414482,1.775595453630295,3.085158101866008,0.632258064516129,0.7802013422818792,5053.784867370478,46.70277451693927
scale,50,50,50,scale_line_qaoa_N50_00004,4,qaoa,line,3886402,6545535,5,400,70,470,514.3849591194997,133.36586844237047,95,104.68065167686761,143.90626624115586,1.2859623977987493,2.905226692033864,0.47342995169082125,0.3663716814159292,4065.7769971628195,23.459782212121855
scale,50,50,50,scale_line_qaoa_N50_00005,5,qaoa,line,445101,8106609,5,270,290,560,470.11254373785266,338.77593047908067,167,328.94462194524704,141.86478903039978,1.7411575693994543,2.168192863720968,0.5066006600660066,0.8335625859697386,5143.111144574246,47.27753791539649
scale,50,50,50,scale_line_qaoa_N50_00006,6,qaoa,line,7315360,8073461,5,410,190,600,546.6496272850505,424.3447434350315,110,316.63583044664705,153.57787360348283,1.3332917738659769,3.2333933865001656,0.5361552028218695,0.7985915492957747,6138.047588824018,45.171331778813894
scale,50,50,50,scale_line_qaoa_N50_00007,7,qaoa,line,5491590,6512440,5,480,140,620,831.0762988271521,255.12546075682,290,243.59273123425888,155.60784526368235,1.7314089558899002,2.8223247196915713,0.5963060686015831,0.4164835164835165,6539.658782794806,52.53301583936256
scale,50,50,50,scale_line_qaoa_N50_00008,8,qaoa,line,4183839,666326,5,450,170,620,588.3291234220347,146.46886325365128,105,102.65574724977975,150.6835125110383,1.307398052048966,1.86158154855089,0.33223684210526316,0.4193103448275862,4385.8411321258955,24.953785767358873
scale,50,50,50,scale_line_qaoa_N50_00009,9,qaoa,line,4249913,4422201,5,310,230,540,490.27589748869633,302.98473266842404,146,211.94963152426166,145.9059116942844,1.581535153189343,2.317324924645322,0.38811881188118813,0.7361516034985423,4938.996476878374,35.38699171360287
scale,5,5,5,scale_line_vqe_N5_00000,0,vqe,line,1985588,8640059,5,31,21,52,47.24550864262739,0.9806412643126741,18,0.0,60.64280019095463,1.5240486658912062,1.0466972030625084,0.0,0.3142857142857143,311.32434870954665,0.9036535049459593
scale,5,5,5,scale_line_vqe_N5_00001,1,vqe,line,6754350,1260386,5,14,11,25,16.757653493979248,0.0,3,0.0,49.22255222070694,1.1969752495699464,1.0,0.0,0.39285714285714285,97.8489971103663,0.0
scale,5,5,5,scale_line_vqe_N5_00002,2,vqe,line,6319707,7967801,5,49,24,73,80.95446369125817,0.9988370948861083,33,0.0,58.92805524838874,1.6521319120664932,1.0416182122869213,0.0,0.2358490566037736,507.00700612120585,3.443025437538101
scale,5,5,5,scale_line_vqe_N5_00003,3,vqe,line,4294539,6095929,5,35,9,44,43.191559923649066,0.0,8,0.0,55.13782714246876,1.2340445692471163,1.0,0.0,0.17307692307692307,286.1465444447255,1.0681054612314766
scale,5,5,5,scale_line_vqe_N5_00004,4,vqe,line,7474447,4601020,5,10,19,29,14.147615994072126,0.9720462484679108,4,0.0,47.391160456649544,1.4147615994072127,1.0511603288667322,0.0,0.6060606060606061,90.95657207013107,0.14113039505115482
scale,5,5,5,scale_line_vqe_N5_00005,5,vqe,line,2164367,144356,5,48,9,57,69.27075646643368,0.9834353887530456,19,0.0,69.17861947054776,1.4431407597173684,1.1092705987503384,0.0,0.13157894736842105,413.93307050005325,2.2911181225118065
scale,5,5,5,scale_line_vqe_N5_00006,6,vqe,line,5698848,1107677,5,31,29,60,37.71615272720732,1.8788596336784091,7,1.0273483737813167,66.9909238185999,1.2166500879744298,1.06478826323029,0.03225806451612903,0.4626865671641791,236.6194291633861,1.0537577624818548
scale,5,5,5,scale_line_vqe_N5_00007,7,vqe,line,3693305,4466271,5,46,27,73,76.5824796671578,1.0016830200099907,31,0.0,65.99896633711006,1.6648365145034305,1.037099371111481,0.0,0.2692307692307692,471.8125116260205,3.691668150380339
scale,5,5,5,scale_line_vqe_N5_00008,8,vqe,line,721747,5392023,5,10,28,38,12.290347039058062,3.974242834040696,2,2.0123358664427173,57.97542474168449,1.2290347039058063,1.1419372440728819,0.0625,0.8,108.60271624982303,0.5516665209553867
scale,5,5,5,scale_line_vqe_N5_00009,9,vqe,line,1404330,251492,5,21,22,43,26.199562194487804,1.900659229771071,5,0.9731741594284168,60.6089660711716,1.2475981997375145,1.0863936013532305,0.041666666666666664,0.5,173.9484234027014,0.3418460289578995
scale,10,10,10,scale_line_vqe_N10_00000,0,vqe,line,9702701,2976242,5,42,14,56,65.88970272037024,4.052636999232341,22,2.0135515562190576,61.169213415204666,1.568802445723101,1.2894740713737387,0.1111111111111111,0.23076923076923078,405.8030468029114,3.074099743375573
scale,10,10,10,scale_line_vqe_N10_00001,1,vqe,line,3353597,8454561,5,88,54,142,120.58855574575497,6.13815286869226,31,5.136402258038034,63.00621951603518,1.370324497110852,1.1136694975683752,0.08333333333333333,0.3468208092485549,764.0636177132545,4.014721355032278
scale,10,10,10,scale_line_vqe_N10_00002,2,vqe,line,3369720,4711075,5,32,16,48,42.13274342353368,4.031375592862847,11,2.940084070986865,69.09921366819793,1.3166482319854276,1.251960974553928,0.15,0.3389830508474576,304.6219593871764,1.9209220102033842
scale,10,10,10,scale_line_vqe_N10_00003,3,vqe,line,3970001,70640,5,38,18,56,58.64469265434712,4.957845172779687,22,4.147097469448639,64.94119946765706,1.5432813856407137,1.2754358429322048,0.17391304347826086,0.2948717948717949,404.4863576451453,2.3335535762843196
scale,10,10,10,scale_line_vqe_N10_00004,4,vqe,line,6706024,898320,5,96,56,152,139.11260045076787,20.45815167602764,46,13.030618077364103,81.44371535474684,1.449089588028832,1.3653241370719222,0.17105263157894737,0.3838383838383838,1021.6198718907184,5.800103868701537
scale,10,10,10,scale_line_vqe_N10_00005,5,vqe,line,6486460,6197323,5,58,40,98,79.46102138536205,8.179778708110652,20,4.89832458570557,78.57864658788466,1.370017610092449,1.2044944677027662,0.10416666666666667,0.4067796610169492,529.6298802998738,2.920500938111418
scale,10,10,10,scale_line_vqe_N10_00006,6,vqe,line,7990340,1039458,5,36,22,58,56.53712115998994,8.09030267832897,19,6.160799741115502,61.46740057962023,1.5704755877774983,1.3677410308331348,0.2,0.38961038961038963,401.4990023942371,2.572697186126211
scale,10,10,10,scale_line_vqe_N10_00007,7,vqe,line,197775,2386488,5,42,58,100,56.26851714891459,14.687023078853652,12,13.948424834393016,69.85719452294906,1.3397265987836806,1.2532245358423044,0.1917808219178082,0.6517857142857143,446.79267838216526,3.2178962212200997
scale,10,10,10,scale_line_vqe_N10_00008,8,vqe,line,2276360,4408249,5,96,34,130,165.44543578979912,12.136759374175574,65,11.23954265039671,88.13666575878908,1.723389956143741,1.3569635110051639,0.2391304347826087,0.2358974358974359,1052.4908927031277,7.253812548014155
scale,10,10,10,scale_line_vqe_N10_00009,9,vqe,line,6646705,5462810,5,52,20,72,82.24691328676556,2.072761702899294,28,0.9931708229259308,74.04582895117525,1.5816714093608761,1.1036380851449645,0.045454545454545456,0.22,499.18521004798873,1.8781841297377617
scale,20,20,20,scale_line_vqe_N20_00000,0,vqe,line,8783148,5409861,5,44,36,80,56.656903312364335,17.76148228018065,13,14.037624230046223,92.89882811537126,1.2876568934628259,1.4933745077827958,0.25925925925925924,0.5806451612903226,476.0830333655969,2.775335669846967
scale,20,20,20,scale_line_vqe_N20_00001,1,vqe,line,448345,9137682,5,160,92,252,235.58298441405015,65.80005058685649,76,47.21969282653374,88.12775043651186,1.4723936525878134,1.7152179411614836,0.3006535947712418,0.46646341463414637,1897.671197251152,13.176291080286289
scale,20,20,20,scale_line_vqe_N20_00002,2,vqe,line,3319144,8693670,5,192,28,220,278.02091151665593,8.878995140781692,77,7.065547830148674,98.51944467564685,1.4480255808159164,1.3171069693136317,0.1891891891891892,0.12457912457912458,1687.8932830729239,9.176574352454137
scale,20,20,20,scale_line_vqe_N20_00003,3,vqe,line,2387312,3693976,5,40,28,68,67.94596001484184,15.072681747552357,27,10.489573830798308,97.68339454305004,1.6986490003710462,1.5383100624125843,0.2558139534883721,0.45263157894736844,524.9724427338012,3.577169958491271
scale,20,20,20,scale_line_vqe_N20_00004,4,vqe,line,1855567,1534837,5,168,40,208,273.3029473193042,17.720519749987567,100,16.59458408651622,71.03252779817078,1.6268032578530014,1.4430129937496892,0.29310344827586204,0.18831168831168832,1740.1076753492287,12.31182590354356
scale,20,20,20,scale_line_vqe_N20_00005,5,vqe,line,5221816,9246766,5,120,60,180,162.6002374854753,45.82430295243602,39,40.3140268478471,95.9909332582914,1.3550019790456276,1.7637383825406006,0.37142857142857144,0.4794520547945205,1324.5398577118287,8.197816063644646
scale,20,20,20,scale_line_vqe_N20_00006,6,vqe,line,160775,7349369,5,92,76,168,141.63062311272947,33.486981776723574,47,29.14008125473652,88.8906806437049,1.5394632947035811,1.4406181812726786,0.26126126126126126,0.5162790697674419,1119.7200627830048,6.87931806905426
scale,20,20,20,scale_line_vqe_N20_00007,7,vqe,line,4166500,7467048,5,148,32,180,210.96023025382235,14.81237978208177,55,11.884711595084067,99.76309126481102,1.4254069611744753,1.4628868681900553,0.2553191489361702,0.2,1330.9527156438912,7.448621328284704
scale,20,20,20,scale_line_vqe_N20_00008,8,vqe,line,1600396,3311149,5,180,104,284,251.2452753209639,21.404176533591542,61,15.538373210798419,74.85425156183763,1.3958070851164661,1.2058093897460724,0.12698412698412698,0.3652173913043478,1606.6241520355084,8.584495629250759
scale,20,20,20,scale_line_vqe_N20_00009,9,vqe,line,1178049,3080201,5,176,40,216,283.37978135437095,30.35419887930025,99,24.49946057385048,96.79659669163419,1.610112394058926,1.758854971982506,0.35714285714285715,0.2222222222222222,1888.5509542091856,11.985252208148047
scale,50,50,50,scale_line_vqe_N50_00000,0,vqe,line,3912942,8501424,5,390,220,610,541.5935082695595,322.72788483105427,110,226.86106413150793,148.9201503564694,1.3887013032552809,2.466944931050247,0.435546875,0.7111111111111111,5331.540562861388,36.29477292646079
scale,50,50,50,scale_line_vqe_N50_00001,1,vqe,line,4345760,7153768,5,200,250,450,300.94110365017616,456.43164174403177,79,412.7079957998198,165.27101259892478,1.5047055182508808,2.8257265669761273,0.5762195121951219,1.2400756143667298,4923.13140457053,47.01990338834808
scale,50,50,50,scale_line_vqe_N50_00002,2,vqe,line,3196340,8551881,5,440,50,490,557.7192051732769,24.324659689140393,104,21.803788908145215,166.38859986373953,1.267543648121084,1.4864931937828079,0.2894736842105263,0.12794612794612795,3468.3688333884443,16.59442686305931
scale,50,50,50,scale_line_vqe_N50_00003,3,vqe,line,5558956,3031756,5,280,210,490,385.53814576294513,199.39337330890913,84,128.2259523687484,152.25235352805603,1.3769219491533755,1.9494922538519484,0.3230769230769231,0.6794425087108014,3603.92543139255,23.284188643611746
scale,50,50,50,scale_line_vqe_N50_00004,4,vqe,line,3334817,2715514,5,130,50,180,194.62666665401537,77.11684465512934,66,55.86495705095744,153.3231401197959,1.4971282050308874,2.5423368931025867,0.44,0.508130081300813,1772.1165306169885,13.488044619109253
scale,50,50,50,scale_line_vqe_N50_00005,5,vqe,line,4892472,481680,5,210,50,260,324.6671054914377,65.58732043421823,100,63.515112224300616,142.51513463443447,1.546033835673513,2.3117464086843644,0.5344827586206896,0.32222222222222224,2384.943808889317,16.644272683065463
scale,50,50,50,scale_line_vqe_N50_00006,6,vqe,line,317537,6953757,5,320,190,510,507.8395315928785,345.61083133308904,166,329.98578752949413,152.33465796480243,1.5869985362277452,2.8190043754373106,0.5767716535433071,0.7514792899408284,5466.33661024774,46.7170091807868
scale,50,50,50,scale_line_vqe_N50_00007,7,vqe,line,1353038,8639483,5,240,230,470,355.16078562710936,475.1117059315844,89,363.99259967724544,158.0265225560743,1.4798366067796223,3.0657030692677583,0.5228658536585366,1.1735241502683362,5375.018003253889,44.26947198244052
scale,50,50,50,scale_line_vqe_N50_00008,8,vqe,line,1854971,9038807,5,390,270,660,641.6966523217156,371.14963067813045,214,352.8608680266335,162.121564332251,1.6453760315941426,2.374628261770854,0.5153970826580226,0.7059496567505721,6416.7867467337255,53.19218416806782
scale,50,50,50,scale_line_vqe_N50_00009,9,vqe,line,6549546,8007407,5,140,60,200,198.33857023424122,87.37029783036078,52,60.55670148882396,148.5595070172548,1.416704073101723,2.456171630506013,0.4,0.5753968253968254,1812.8835944934824,11.44905540794934
scale,5,5,5,scale_line_random_N5_00000,0,random,line,1631107,9417063,5,20,23,43,28.03664694390291,2.947651437776144,8,1.9624397292283482,76.11792765718437,1.4018323471951455,1.12815875816418,0.07692307692307693,0.5098039215686274,205.11167497802626,0.812744857086987
scale,5,5,5,scale_line_random_N5_00001,1,random,line,1950367,1910705,5,13,28,41,20.3635363003883,2.9659313643198693,8,2.0115561639264845,51.870444518813464,1.5664258692606385,1.105926120154281,0.06451612903225806,0.6326530612244898,147.75681029121895,1.2106854785282752
scale,5,5,5,scale_line_random_N5_00002,2,random,line,4246049,8480473,5,28,25,53,37.394323293687414,0.9796698418897888,9,0.0,45.65911130767476,1.335511546203122,1.0391867936755914,0.0,0.41935483870967744,238.59584872343555,2.5044454720204543
scale,5,5,5,scale_line_random_N5_00003,3,random,line,3125354,9818159,5,36,13,49,50.5591493790592,0.0,15,0.0,58.084671760867074,1.4044208160849778,1.0,0.0,0.203125,306.7980148405873,1.235373938234496
scale,5,5,5,scale_line_random_N5_00004,4,random,line,635605,7479821,5,26,8,34,40.801510267328084,1.0046333100689029,14,0.0,54.52720163662479,1.5692888564356955,1.1255791637586128,0.0,0.1875,259.3955553602547,1.1900248166307223
scale,5,5,5,scale_line_random_N5_00005,5,random,line,1307506,2901614,5,35,27,62,54.188975808219475,3.055000892948442,19,1.0158373389143744,47.71945980876376,1.5482564516634136,1.1131481812203126,0.03333333333333333,0.37037037037037035,344.1263803544719,2.012126192133251
scale,5,5,5,scale_line_random_N5_00006,6,random,line,9810404,2319049,5,32,18,50,38.392846441181966,2.031925879614348,6,1.0131799980632303,48.3023156617491,1.1997764512869364,1.112884771089686,0.05,0.35714285714285715,233.01379574822187,1.267479309225848
scale,5,5,5,scale_line_random_N5_00007,7,random,line,5642264,467010,5,48,29,77,58.107069773256434,5.129444186956318,11,3.9616169553284792,43.40908411612344,1.210563953609509,1.1768773857571144,0.11764705882352941,0.38636363636363635,408.20504287271064,2.103130487172871
scale,5,5,5,scale_line_random_N5_00008,8,random,line,6482532,5196467,5,27,19,46,41.61660599602355,2.0204932764506576,15,0.9633633721092859,74.79433927828825,1.5413557776305018,1.1063417513921399,0.047619047619047616,0.3442622950819672,266.8651935411786,2.40045747636887
scale,5,5,5,scale_line_random_N5_00009,9,random,line,421240,944789,5,35,6,41,49.68421850675606,0.0,15,0.0,79.86136406226882,1.4195491001930303,1.0,0.0,0.10714285714285714,302.2155847362421,0.19416475767887498
scale,10,10,10,scale_line_random_N10_00000,0,random,line,9560067,5986126,5,60,20,80,87.94056998298568,4.104891119130803,26,3.09328434400916,71.73966329169569,1.4656761663830946,1.2052445559565403,0.125,0.22641509433962265,560.347519140448,1.7178420778825967
scale,10,10,10,scale_line_random_N10_00001,1,random,line,8913742,5584263,5,30,52,82,39.401475802023924,8.654385757200423,8,6.747386470167235,79.07871947242428,1.3133825267341308,1.1664304953307774,0.11475409836065574,0.6777777777777778,289.6804475790556,1.4524730967939106
scale,10,10,10,scale_line_random_N10_00002,2,random,line,8040979,954480,5,70,46,116,90.19576863248524,15.633781022778987,21,14.660116134821063,60.903070498515476,1.2885109804640749,1.3398648048430215,0.24193548387096775,0.45255474452554745,679.9549089763925,4.783380112526225
scale,10,10,10,scale_line_random_N10_00003,3,random,line,9439101,8671370,5,42,38,80,67.76408623102863,10.713058107885729,24,6.034278188604125,76.38623649837643,1.6134306245483008,1.2819225817864666,0.12244897959183673,0.47115384615384615,478.1010524353711,2.0906111810366426
scale,10,10,10,scale_line_random_N10_00004,4,random,line,7796324,8112074,5,90,34,124,106.03175327590621,8.275739275789679,20,4.88621392654198,63.980313211036155,1.1781305919545135,1.2434040963467552,0.11904761904761904,0.2916666666666667,722.6783064435563,1.5454205961837455
